*2020_STATIONINFO_INFOSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*DEFINITIONS_DÉFINITIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
************************************2020_STATIONINFO_INFOSTATION************************************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAPS_ID,Station_Name,Status,Location_Address,City,P/T,Postal_Code,Timezone,Latitude,Longitude,Elevation,Start_Year,End_Year,Combined_Stations,Inlet_Height,Network,SO2,CO,NO2,NO,NOX,O3,PM_25_Continuous,PM_10_Continuous,PM_2.5_RM,PM10-2.5,PM2.5_SPEC,VOC,Carbonyl,PAH,Site_Type,Urbanization,Neighbourhood,Land_Use,Scale,PC,CD,CSD,CMA/CA,AQMS_Airzone,Core_Site
Identifiant_SNPA,Nom de la station,Statut,Emplacement_Address,Ville,P/T,Code_postal,Fuseau_horaire,Latitude,Longitude,Élévation,Début_année,Fin_année,Stations_combinées,Hauteur_entrée,Réseau,SO2,CO,NO2,NO,NOX,O3,PM25_en_continu,PM10_en_continu,PM_2.5_MR,PM10-2.5,PM2.5_SPEC,COV,Carbonyle,HAP,Type_de_site,Urbanisation,Quartier,Utilisation_du_sol,Échelle,PC,CD,CSD,CMA/CA,SGQA_zones_atmosphérique,Sites_principaux
30501,KEJIMKUJIK NATIONAL PARK,0,NATIONAL PARK,KEJIMKUJIK,NOVA SCOTIA,,-4,44.433611,-65.205833,127,1985-01-01,2016-01-01,,,C,,,,,,X,,,,,,,,,RB,NU,P1,F,RE,none,04. Queens,"Queens, RGM 04 010",,Western Region,
30502,KEJIMKUJIK2,1,NATIONAL PARK,KEJIMKUJIK,NOVA SCOTIA,B0T 1B0,-4,44.43244,-65.20264,124,2016-01-01,,,,C,,,,,,X,,,,,,,,,RB,NU,P1,F,RE,none,04. Queens,"Queens, RGM 04 010",,Western Region,
30601,123 OAKES ROAD,0,123 OAKES ROAD,FALL RIVER,NOVA SCOTIA,B2T 1J5,-4,44.8125,-63.60417,72,1986-01-01,1989-12-31,,,N,,,,,,,,,,,,,,,RB,NU,P2,F,na,Halifax (N.S.),09. Halifax,"Halifax, RGM 09 034","205. Halifax, CMA/RMR",Central Region,
30701,AYLESFORD MOUNTAIN,1,"1009 MOUNTAIN BROW ROAD, KINGS COUNTY",AYLESFORD,NOVA SCOTIA,B0P 1C0,-4,45.07267,-64.84033,235,1991-01-01,,,5,N,,,,,,X,X,,,,,,,,RB,NU,P2,F,RE,none,07. Kings,"Kings Subd. A, SC 07 001",,Western Region,
30801,DAYTON,0,"YARMOUTH WEATHER OFFICE, DAYTON",YARMOUTH,NOVA SCOTIA,B5A (4A8),-4,43.83333,-66.08333,31,1994-01-01,2013-12-31,,,N,,,,,,X,,,,,,,,,RB,SU,P2,F,NE,Yarmouth (N.S.),02. Yarmouth,"Yarmouth 33, IRIR 02 040",,Western Region,
30901,PICTOU,1,91 BEECHES ROAD,PICTOU,NOVA SCOTIA,B0K 1H0,-4,45.68167,-62.69664,12,2001-01-01,,,4,N,X,,X,X,X,X,X,,,,,,,,PE,SU,P2,R,UR,Pictou (N.S.),12. Pictou,"Pictou, T 12 004","220. New Glasgow, CA/AR",Northern Region,
31001,SABLE ISLAND,0,SABLE ISLAND,SABLE ISLAND,NOVA SCOTIA,,-4,43.93307,-59.90365,8,2003-01-01,2014-12-31,,,N,,,,,,,,,X,,,,,,RB,NU,P1,O,RE,none,09. Halifax,"Halifax, RGM 09 034","205 Halifax, CMA/RMR",na,
31101,KENTVILLE - AGRI-FOOD CANADA,1,32 MAIN STREET,KENTVILLE,NOVA SCOTIA,B4N 1J5,-4,45.06725,-64.47743,60,2002-01-01,,,2.5,N,,,X,X,X,X,X,,,,,,,,PE,SU,P3,A,NE,Kentville (N.S.),07. Kings,"Kentville, T 07 012","210 Kentville, CA/AR",Western Region,
31201,GRANTON,0,20 PUMPHOUSE ROAD,GRANTON,NOVA SCOTIA,B0K 1H0,-4,45.63115,-62.73838,2,,2016-04-07,,,N,,,,,,,,,,,,X,,,PS,NU,P2,I,NE,none,12. Pictou,"Pictou, Subd. B, SC 12 006","220. New Glasgow, CA/AR",Northern Region,
40101,WOODSTOCK ROAD,0,WOODSTOCK ROAD,FREDERICTON,NEW BRUNSWICK,E3B 2L7,-4,45.96556,-66.65361,10,1974-01-01,31/10/1974,,,N,,,,,,,,,,,,,,,PE,MU,P3,W,na,Fredericton (N.B.),10. York,"Fredericton, CY 10 032","320. Fredericton, CA/AR",Central,
